3/7/2025,maven,java,hippy,someone who is dazzlingly skilled in any field,an island in Indonesia to the south of Borneo; one of the world's most densely populated regions,someone who rejects the established culture; advocates extreme liberalism in politics and lifestyle
6/1/2025,chick,chalk,spoof,young bird especially of domestic fowl,a soft whitish calcite,"a composition that imitates or misrepresents somebody's style, usually in a humorous way"
6/2/2025,acorn,moolah,mantis,fruit of the oak tree: a smooth thin-walled nut in a woody cup-shaped base,informal terms for money,predacious long-bodied large-eyed insect of warm regions; rests with forelimbs raised as in prayer
6/3/2025,tripos,usage,siren,final honors degree examinations at Cambridge University,the act of using,a sea nymph (part woman and part bird) supposed to lure sailors to destruction on the rocks where the nymphs lived
6/4/2025,paging,aecium,sexton,calling out the name of a person (especially by a loudspeaker system),fruiting body of some rust fungi bearing chains of aeciospores,United States poet (1928-1974)
6/5/2025,miller,paring,ormolu,United States bandleader of a popular big band (1909-1944),a thin fragment or slice (especially of wood) that has been shaved from something,brass that looks like gold; used to decorate furniture
6/6/2025,gobble,theft,clews,the characteristic sound made by a turkey cock,the act of taking something from someone unlawfully,the cords used to suspend a hammock
6/7/2025,millet,felon,nutria,"any of various small-grained annual cereal and forage grasses of the genera Panicum, Echinochloa, Setaria, Sorghum, and Eleusine",someone who has committed a crime or has been legally convicted of a crime,aquatic South American rodent resembling a small beaver; bred for its fur
6/8/2025,nubbin,glider,butler,a small nub (especially an undeveloped fruit or ear of corn),aircraft supported only by the dynamic action of air against its surfaces,a manservant (usually the head servant of a household) who has charge of wines and the table
6/9/2025,bluff,grader,hello,a high steep bank (usually formed by river erosion),a judge who assigns grades to something,an expression of greeting
6/10/2025,necker,nephew,nation,a lover who necks,a son of your brother or sister,a politically organized body of people under a single government
6/11/2025,rebus,helix,death,a puzzle where you decode a message consisting of pictures representing syllables and words,a curve that lies on the surface of a cylinder or cone and cuts the element at a constant angle,the event of dying or departure from life
6/12/2025,brogue,guest,ilium,a thick and heavy shoe,a visitor to whom hospitality is extended,an ancient city in Asia Minor that was the site of the Trojan War
6/13/2025,demise,marque,filer,the time when something ends,a name given to a product or service,a party who files a notice with a law court
6/14/2025,snood,escrow,pebble,an ornamental net in the shape of a bag that confines a woman's hair; pins or ties at the back of the head,a written agreement (or property or money) delivered to a third party or put in trust by one party to a contract to be returned after fulfillment of some condition,a small smooth rounded rock
6/15/2025,minute,expert,worker,a unit of time equal to 60 seconds or 1/60th of an hour,a person with special knowledge or ability who performs skillfully,a person who works at a specific occupation
6/16/2025,vestal,pueblo,rebate,a chaste woman,a member of any of about two dozen Native American peoples called `Pueblos' by the Spanish because they live in pueblos (villages built of adobe and rock),a refund of some fraction of the amount paid
6/17/2025,henna,blazon,rogers,a reddish brown dye used especially on hair,"the official symbols of a family, state, etc.",United States humorist remembered for his homespun commentary on politics and American society (1879-1935)
6/18/2025,lagoon,insert,linnet,a body of water cut off from a larger body by a reef of sand or coral,a folded section placed between the leaves of another publication,small finch originally of the western United States and Mexico
6/19/2025,merlin,ilium,lasher,(Arthurian legend) the magician who acted as King Arthur's advisor,an ancient city in Asia Minor that was the site of the Trojan War,a driver who urges the animals on with lashes of a whip
6/20/2025,pickup,oozing,waster,a light truck with an open body and low sides and a tailboard,the process of seeping,someone who dissipates resources self-indulgently
6/21/2025,troop,padauk,frown,a group of soldiers,tree native to southeastern Asia having reddish wood with a mottled or striped black grain,a facial expression of dislike or displeasure
6/22/2025,dingo,borate,biceps,wolflike yellowish-brown wild dog of Australia,a salt or ester of boric acid,any skeletal muscle having two origins (but especially the muscle that flexes the forearm)
6/23/2025,dough,autumn,danish,a flour mixture stiff enough to knead or roll,the season when the leaves fall from the trees,a Scandinavian language that is the official language of Denmark
6/24/2025,sconce,mammal,bridge,a shelter or screen providing protection from enemy fire or from the weather,any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk,a structure that allows people or vehicles to cross an obstacle such as a river or canal or railway etc.
6/25/2025,beggar,falls,juice,a pauper who lives by begging,the petals or sepals of a flower that bend downward (especially the outer perianth of an iris),the liquid part that can be extracted from plant or animal tissue by squeezing or cooking
6/26/2025,kipper,taint,admass,salted and smoked herring,the state of being contaminated,the segment of the public that is easily influenced by mass media (chiefly British)
6/27/2025,colour,depth,shaker,any material used for its color,the extent downward or backward or inward,a person who wields power and influence
6/28/2025,mouse,bobby,chilly,any of numerous small rodents typically resembling diminutive rats having pointed snouts and small ears on elongated bodies with slender usually hairless tails,an informal term for a British policeman,very hot and finely tapering pepper of special pungency
6/29/2025,mating,meninx,voter,the act of pairing a male and female for reproductive purposes,a membrane (one of 3) that envelops the brain and spinal cord,a citizen who has a legal right to vote
6/30/2025,crone,gruel,pigsty,an ugly evil-looking old woman,a thin porridge (usually oatmeal or cornmeal),a pen for swine
7/1/2025,scull,plaid,slouch,a long oar that is mounted at the stern of a boat and moved left and right to propel the boat forward,a cloth having a crisscross design,an incompetent person; usually used in negative constructions
7/2/2025,hooray,specie,cackle,a victory cheer,coins collectively,the sound made by a hen after laying an egg
7/3/2025,testee,sashay,tonic,someone who is tested (as by an intelligence test or an academic examination),a square dance figure; partners circle each other taking sideways steps,lime- or lemon-flavored carbonated water containing quinine
7/4/2025,bullet,chore,zigzag,a projectile that is fired from a gun,a specific piece of work required to be done as a duty or for a specific fee,an angular shape characterized by sharp turns in alternating directions
7/5/2025,clank,curry,bobcat,a loud resonant repeating noise,(East Indian cookery) a pungent dish of vegetables or meats flavored with curry powder and usually eaten with rice,small lynx of North America
7/6/2025,frame,assay,cleric,the framework for a pair of eyeglasses,an appraisal of the state of affairs,a clergyman or other person in religious orders
7/7/2025,hooray,midden,amnio,a victory cheer,(archeology) a mound of domestic refuse containing shells and animal bones marking the site of a prehistoric settlement,(pregnancy) extraction by centesis of amniotic fluid from a pregnant woman (after the 15th week of pregnancy) to aid in the diagnosis of fetal abnormalities
7/8/2025,taint,peeing,umlaut,the state of being contaminated,informal terms for urination,a diacritical mark (two dots) placed over a vowel in German to indicate a change in sound
7/9/2025,dolor,advent,ninny,(poetry) painful grief,arrival that has been awaited (especially of something momentous),a stupid foolish person
7/10/2025,saint,magpie,apathy,a person who has died and has been declared a saint by canonization,long-tailed black-and-white crow that utters a raucous chattering call,an absence of emotion or enthusiasm
7/11/2025,strafe,testis,hadith,an attack of machine-gun fire or cannon fire from a low flying airplane,one of the two male reproductive glands that produce spermatozoa and secrete androgens,(Islam) a tradition based on reports of the sayings and activities of Muhammad and his companions
7/12/2025,carver,liege,copper,United States botanist and agricultural chemist who developed many uses for peanuts and soy beans and sweet potatoes (1864-1943),a person holding a fief; a person who owes allegiance and service to a feudal lord,a ductile malleable reddish-brown corrosion-resistant diamagnetic metallic element; occurs in various minerals but is the only metal that occurs abundantly in large masses; used as an electrical and thermal conductor
7/13/2025,duress,cancer,sully,compulsory force or threat,any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream,United States painter (born in England) of portraits and historical scenes (1783-1872)
7/14/2025,synod,urchin,sublet,a council convened to discuss ecclesiastical business,poor and often mischievous city child,a lease from one lessee to another
7/15/2025,glyph,serger,crust,glyptic art in the form of a symbolic figure carved or incised in relief,a sewing machine that overcasts the raw edges of a fabric with a V-shaped stitch,the outer layer of the Earth
7/16/2025,shard,strain,tumult,a broken piece of a brittle artifact,(physics) deformation of a physical body under the action of applied forces,a state of commotion and noise and confusion
7/17/2025,beetle,store,plight,insect having biting mouthparts and front wings modified to form horny covers overlying the membranous rear wings,a mercantile establishment for the retail sale of goods or services,a situation from which extrication is difficult especially an unpleasant or trying one
7/18/2025,gully,fusee,antic,deep ditch cut by running water (especially after a prolonged downpour),a spirally grooved spindle in a clock that counteracts the diminishing power of the uncoiling mainspring,a ludicrous or grotesque act done for fun and amusement
7/19/2025,rafter,fathom,fellah,one of several parallel sloping beams that support a roof,a linear unit of measurement (equal to 6 feet) for water depth,an agricultural laborer in Arab countries
7/20/2025,homer,python,ribose,a base hit on which the batter scores a run,large Old World boas,a pentose sugar important as a component of ribonucleic acid
7/21/2025,excuse,local,nubbin,a defense of some offensive behavior or some failure to keep a promise etc.,public transport consisting of a bus or train that stops at all stations or stops,a small nub (especially an undeveloped fruit or ear of corn)
7/22/2025,hearer,source,runnel,someone who listens attentively,"the place where something begins, where it springs into being",a small stream
7/23/2025,jostle,swift,cudgel,the act of jostling (forcing your way by pushing),United States meat-packer who began the use of refrigerated railroad cars (1839-1903),a club that is used as a weapon
7/24/2025,caddie,rococo,oblong,an attendant who carries the golf clubs for a player,fanciful but graceful asymmetric ornamentation in art and architecture that originated in France in the 18th century,a plane figure that deviates from a square or circle due to elongation
7/25/2025,whammy,rhymer,pyrene,a serious or devastating setback,a writer who composes rhymes; a maker of poor verses (usually used as terms of contempt for minor or inferior poets),a pale yellow crystalline hydrocarbon C16H10 extracted from coal tar
7/26/2025,hubby,vapour,frank,a married man; a woman's partner in marriage,a visible suspension in the air of particles of some substance,a member of the ancient Germanic peoples who spread from the Rhine into the Roman Empire in the 4th century
7/27/2025,japan,pander,trilby,"a string of more than 3,000 islands to the east of Asia extending 1,300 miles between the Sea of Japan and the western Pacific Ocean",someone who procures customers for whores (in England they call a pimp a ponce),singer in a novel by George du Maurier who was under the control of the hypnotist Svengali
7/28/2025,calla,chive,secant,South African plant widely cultivated for its showy pure white spathe and yellow spadix,perennial having hollow cylindrical leaves used for seasoning,a straight line that intersects a curve at two or more points
7/29/2025,wiggle,thong,forger,the act of wiggling,leather strip that forms the flexible part of a whip,someone who operates a forge
7/30/2025,crunch,device,stable,the sound of something crunching,an instrumentality invented for a particular purpose,a farm building for housing horses or other livestock
7/31/2025,gender,biopsy,wight,a grammatical category in inflected languages governing the agreement between nouns and pronouns and adjectives; in some languages it is quite arbitrary but in Indo-European languages it is usually based on sex or animateness,examination of tissues or liquids from the living body to determine the existence or cause of a disease,a human being; `wight' is an archaic term
8/1/2025,beech,suntan,sluice,any of several large deciduous trees with rounded spreading crowns and smooth grey bark and small sweet edible triangular nuts enclosed in burs; north temperate regions,a browning of the skin resulting from exposure to the rays of the sun,conduit that carries a rapid flow of water controlled by a sluicegate
8/2/2025,ember,khakis,shovel,a hot fragment of wood or coal that is left from a fire and is glowing or smoldering,a military uniform made of khaki fabric,a hand tool for lifting loose material; consists of a curved container or scoop and a handle
8/3/2025,tartar,khaki,agave,a salt used especially in baking powder,a sturdy twilled cloth of a yellowish brown color used especially for military uniforms,tropical American plants with basal rosettes of fibrous sword-shaped leaves and flowers in tall spikes; some cultivated for ornament or for fiber
8/4/2025,float,scrip,cleats,the time interval between the deposit of a check in a bank and its payment,a certificate whose value is recognized by the payer and payee; scrip is not currency but may be convertible into currency,shoes with leather or metal projections on the soles
8/5/2025,crank,scaup,sabot,a bad-tempered person,diving ducks of North America having a bluish-grey bill,a shoe carved from a single block of wood
8/6/2025,louver,dutch,roper,one of a set of parallel slats in a door or window to admit air and reject rain,the people of the Netherlands,a decoy who lures customers into a gambling establishment (especially one with a fixed game)
8/7/2025,binary,entry,fluid,a system of two stars that revolve around each other under their mutual gravitation,an item inserted in a written record,a substance that is fluid at room temperature and pressure
8/8/2025,reward,boiler,jaguar,a recompense for worthy acts or retribution for wrongdoing,sealed vessel where water is converted to steam,a large spotted feline of tropical America similar to the leopard; in some classifications considered a member of the genus Felis
8/9/2025,belief,camper,reggae,any cognitive content held as true,someone living temporarily in a tent or lodge for recreation,popular music originating in the West Indies; repetitive bass riffs and regular chords played on the off beat by a guitar
8/10/2025,shoal,argon,hernia,a sandbank in a stretch of water that is visible at low tide,a colorless and odorless inert gas; one of the six inert gases; comprises approximately 1% of the earth's atmosphere,rupture in smooth muscle tissue through which a bodily structure protrudes
8/11/2025,humans,hearer,stylus,all of the living human inhabitants of the earth,someone who listens attentively,a sharp pointed device attached to the cartridge of a record player
8/12/2025,pilau,badge,rotor,rice cooked in well-seasoned broth with onions or celery and usually poultry or game or shellfish and sometimes tomatoes,an emblem (a small piece of plastic or cloth or metal) that signifies your status (rank or membership or affiliation etc.),the rotating armature of a motor or generator
8/13/2025,midget,dating,pepsin,a person who is markedly small,use of chemical analysis to estimate the age of geological specimens,an enzyme produced in the stomach that splits proteins into peptones
8/14/2025,bower,savor,drawee,a framework that supports climbing plants,the taste experience when a savoury condiment is taken into the mouth,the person (or bank) who is expected to pay a check or draft when it is presented for payment
8/15/2025,wisdom,rayon,larder,accumulated knowledge or erudition or enlightenment,a synthetic silklike fabric,a supply of food especially for a household
8/16/2025,snail,homer,pestle,freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell,a base hit on which the batter scores a run,machine consisting of a heavy bar that moves vertically for pounding or crushing ores
8/17/2025,strut,salmon,hugger,a proud stiff pompous gait,any of various large food and game fishes of northern waters; usually migrate from salt to fresh water to spawn,a person who hugs
8/18/2025,healer,brown,refuge,a person skilled in a particular type of therapy,an orange of low brightness and saturation,a safe place
8/19/2025,might,baron,varix,physical strength,a nobleman (in various countries) of varying rank,abnormally enlarged or twisted blood vessel or lymphatic vessel
8/20/2025,trojan,defect,mantra,a native of ancient Troy,an imperfection in a bodily system,a commonly repeated word or phrase
8/21/2025,winker,honky,diving,a person who winks,(slang) offensive names for a White man,an athletic competition that involves diving into water
8/22/2025,moujik,death,numbat,a Russian peasant (especially prior to 1917),the event of dying or departure from life,small Australian marsupial having long snout and strong claws for feeding on termites; nearly extinct
8/23/2025,deixis,bandit,copse,the function of pointing or specifying from the perspective of a participant in an act of speech or writing; aspects of a communication whose interpretation depends on knowledge of the context in which the communication occurs,an armed thief who is (usually) a member of a band,a dense growth of bushes
8/24/2025,tundra,escudo,holly,a vast treeless plain in the Arctic regions where the subsoil is permanently frozen,formerly the basic monetary unit of Portugal; equal to 100 centavo,any tree or shrub of the genus Ilex having red berries and shiny evergreen leaves with prickly edges
8/25/2025,slush,neuron,crime,partially melted snow,a cell that is specialized to conduct nerve impulses,(criminal law) an act punishable by law; usually considered an evil act
8/26/2025,callus,prefab,lappet,an area of skin that is thick or hard from continual pressure or friction (as the sole of the foot),a prefabricated structure,a fleshy wrinkled and often brightly colored fold of skin hanging from the neck or throat of certain birds (chickens and turkeys) or lizards
8/27/2025,rubric,rarity,indie,an authoritative rule of conduct or procedure,noteworthy scarcity,a pop group not affiliated with a major record company
